Brand,Operating System,Processor,RAM Type,RAM Size,Disc Type,Disc Size,Price
Lenovo,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,44990
Lenovo,Windows 10,Intel Core i5,DDR4,8 GB,SSD,512 GB,58000
Infinix,Windows 11,Intel Core i3,LPDDR4X,8 GB,SSD,256 GB,29990
ASUS,Windows 11,AMD Ryzen 7 Octa Core,LPDDR5,16 GB,SSD,1 TB,114990
HP,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,33990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
ASUS,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,16 GB,SSD,512 GB,64990
Lenovo,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,79990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Infinix,Windows 11,Intel Core i3,LPDDR4X,8 GB,SSD,256 GB,28990
ASUS,MAC ,AMD Ryzen 5 Dual Core,DDR4,8 GB,SSD,512 GB,56990
HP,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,16 GB,SSD,512 GB,81990
MSI,Windows 10,Intel Core i7,DDR4,16 GB,SSD,1 TB,129990
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
DELL,Windows 10,AMD Ryzen 3 Dual Core,DDR4,8 GB,HDD,1 TB,38990
HP,Windows 10,AMD Ryzen 7 Octa Core,DDR4,16 GB,HDD,1 TB,79990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
APPLE,MAC ,Apple M2,Unified Memory,8 GB,SSD,512 GB,139990
ASUS,Windows 11,Intel Core i7,DDR5,16 GB,SSD,1 TB,109990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,154990
Lenovo,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,62990
